"BehaviorSpace results (NetLogo 6.0)"
"Fire.nlogo"
"experiment"
"12/13/2017 15:20:07:645 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","[step]","burned-trees","initial-trees","(burned-trees / initial-trees) * 100"
"6","60","168","8529","37688","22.63054553173424"
"9","90","87","18318","56347","32.509272898290945"
"7","70","99","13136","43874","29.940283539225966"
"6","60","169","8554","37688","22.696879643387817"
"6","60","170","8578","37688","22.76056039057525"
"6","60","171","8612","37688","22.850774782424114"
"8","80","72","12181","50229","24.250930737223516"
"7","70","100","13275","43874","30.257099876920275"
"6","60","172","8644","37688","22.935682445340692"
"6","60","173","8677","37688","23.02324347272341"
"9","90","88","18523","56347","32.873089960423805"
"6","60","174","8706","37688","23.100191042241562"
"6","60","175","8738","37688","23.18509870515814"
"7","70","101","13411","43874","30.56707845193053"
"8","80","73","12348","50229","24.58340799139939"
"6","60","176","8765","37688","23.256739545744004"
"6","60","177","8792","37688","23.328380386329865"
"6","60","178","8820","37688","23.40267459138187"
"6","60","179","8854","37688","23.492888983230735"
"7","70","102","13542","43874","30.8656607558007"
"9","90","89","18728","56347","33.23690702255666"
"6","60","180","8892","37688","23.59371683294417"
"8","80","74","12510","50229","24.905930836767602"
"6","60","181","8929","37688","23.691891318191466"
"6","60","182","8962","37688","23.779452345574185"
"6","60","183","8992","37688","23.85905327955848"
"7","70","103","13659","43874","31.132333500478644"
"6","60","184","9019","37688","23.930694120144345"
"8","80","75","12664","50229","25.21252662804356"
"6","60","185","9045","37688","23.999681596264065"
"9","90","90","18934","56347","33.602498802065774"
"6","60","186","9078","37688","24.087242623646784"
"7","70","104","13779","43874","31.405844007840635"
"6","60","187","9108","37688","24.166843557631076"
"6","60","188","9138","37688","24.246444491615367"
"6","60","189","9165","37688","24.318085332201232"
"8","80","76","12823","50229","25.529076828127177"
"6","60","190","9200","37688","24.410953088516237"
"7","70","105","13902","43874","31.686192277886676"
"6","60","191","9236","37688","24.506474209297387"
"9","90","91","19136","56347","33.960991712069855"
"6","60","192","9275","37688","24.60995542347697"
"6","60","193","9310","37688","24.702823179791977"
"7","70","106","14041","43874","32.00300861558098"
"6","60","194","9344","37688","24.79303757164084"
"8","80","77","12991","50229","25.863544964064584"
